ID,Education,Income,Total_Spending
9449,PhD,79761,605
11004,2n Cycle,60182,22
313,Graduation,73455,2088
9940,Graduation,64961,1009
9529,Graduation,73687,1627
6439,Graduation,61074,1102
2176,Graduation,80134,1690
9265,Graduation,75027,1390
8867,PhD,67546,2126
8932,Master,65176,1531
10089,Graduation,102692,1112
10992,Graduation,75702,1148
309,PhD,63342,1101
1184,PhD,69674,845
1225,Graduation,80124,1495
291,Graduation,72940,981
2379,Graduation,69267,1635
3066,PhD,61905,231
2304,PhD,66313,770
3445,Graduation,60714,957
7828,Master,77882,818
3762,PhD,69867,925
4391,Master,63841,908
10144,Graduation,51369,576
1672,PhD,65640,461
10983,Graduation,75278,930
8148,Master,50898,859
10102,Graduation,79946,1478
4543,Graduation,82497,1919
2926,Master,55951,1374
7119,Graduation,68627,825
3924,PhD,57912,916
5596,2n Cycle,58821,728
9274,Master,80950,1213
6963,Graduation,77457,1157
4440,Master,64100,546
6320,Master,70893,1508
3050,Graduation,54198,235
9478,Graduation,66503,401
1802,Graduation,64795,680
9750,PhD,64325,1307
7214,Graduation,62187,1283
10350,PhD,54432,38
10675,PhD,66334,1161
10151,Graduation,62204,946
7381,Graduation,75693,1442
9560,Graduation,83003,1674
1150,PhD,83532,1853
10172,Graduation,68655,1538
9707,PhD,55212,1182
6245,PhD,59292,507
1411,Graduation,82623,940
1826,Graduation,84835,1190
2579,Graduation,71113,835
175,Graduation,71952,1443
9185,PhD,69759,1029
11056,Graduation,72099,1188
9365,PhD,60000,1277
2061,Graduation,50737,99
6184,PhD,68462,1670
6142,Master,65073,900
7274,Graduation,78618,2153
9336,PhD,62187,636
5837,Graduation,51479,494
10704,Graduation,54803,693
5125,Graduation,79530,1348
5955,Graduation,72025,1932
2928,PhD,52614,990
1245,Graduation,63810,1371
1729,PhD,66426,1377
6202,Graduation,63381,1005
9799,PhD,83664,1173
8318,Graduation,90300,1738
5642,Master,62499,222
2669,Graduation,74293,1127
455,PhD,51012,209
7683,Master,70777,787
3428,PhD,68682,1598
9999,Graduation,75276,1040
2552,PhD,55521,446
8890,PhD,65808,272
9973,Graduation,50437,490
10882,Graduation,53858,915
7030,PhD,66465,1485
3523,Graduation,75072,1073
7106,PhD,75865,1242
5067,Graduation,80134,1378
4216,Graduation,91065,1474
1361,Master,82584,1435
6932,PhD,93027,2119
1340,Graduation,92910,1795
8746,Graduation,75433,1188
3767,Graduation,61314,1008
3725,PhD,84865,1688
238,2n Cycle,67309,1082
6694,Graduation,75236,1068
9347,Master,50943,46
9699,Graduation,67272,733
10664,Master,51529,467
7495,PhD,56223,156
1137,Graduation,81246,1379
1142,PhD,55707,428
2276,Graduation,57959,868
2807,Graduation,56796,1001
6131,2n Cycle,70829,431
6233,Graduation,65991,971
4947,2n Cycle,89572,2059
7540,Graduation,50300,270
10648,2n Cycle,66664,1289
1992,Graduation,60597,893
7851,Graduation,70165,926
8594,PhD,50520,135
7059,Graduation,80124,1495
2416,PhD,66582,1288
7999,PhD,75261,1743
9697,Graduation,53790,542
2021,Graduation,61456,1388
564,PhD,56937,906
178,Graduation,62503,973
5512,Master,55842,518
8970,PhD,62010,530
9286,Master,83151,747
2426,PhD,78825,895
5172,Master,65104,1053
5562,Graduation,60093,735
3403,PhD,78952,2092
10965,Graduation,76005,1722
9426,Master,58308,900
6605,PhD,55614,682
3136,Master,59432,663
8737,Graduation,55563,43
11088,PhD,78642,1816
716,PhD,67911,976
466,Graduation,65275,746
5140,PhD,64355,1445
10160,Master,50943,46
4945,Graduation,53653,1210
10584,Graduation,65665,945
6071,Graduation,81217,1157
8939,Graduation,61250,730
4320,Graduation,60152,943
6036,Master,89120,1924
203,Master,81169,2089
4607,Graduation,71367,777
3711,Master,80184,1902
2532,Master,73454,1651
4943,Graduation,70503,1727
4322,PhD,77863,1291
713,Master,50353,442
4702,Graduation,61839,1895
2004,Graduation,72679,1168
4769,Master,57954,493
4437,Graduation,65316,260
6931,Graduation,76982,1062
11096,2n Cycle,57247,232
5547,PhD,84169,1919
7822,Graduation,54058,662
10955,Graduation,85620,1600
9240,PhD,60504,526
9504,Master,81698,1008
448,PhD,54880,795
8314,Graduation,79908,1772
3174,Graduation,87771,1957
3179,Graduation,81741,1572
9780,Master,71499,795
10681,2n Cycle,62466,889
4184,PhD,52157,265
9120,Graduation,66565,1065
1029,PhD,64413,279
2574,PhD,61996,1230
8159,Graduation,51287,182
5253,Master,54603,227
9058,Graduation,79800,1867
5057,Master,61794,611
254,Graduation,53863,473
7627,Master,92163,2086
4501,Master,69882,1478
3075,PhD,59973,382
2453,Graduation,62807,819
7972,Graduation,72906,1151
895,PhD,61467,594
988,Graduation,81168,1193
1503,PhD,162397,107
8650,Graduation,54162,42
2782,PhD,54456,404
10972,Graduation,72298,939
6583,2n Cycle,72635,981
10156,Graduation,84196,1237
4299,Graduation,70971,1825
10727,PhD,69084,1586
9624,PhD,65488,963
5156,2n Cycle,62466,889
8923,Graduation,83917,1587
6945,Graduation,84574,1375
944,Graduation,56181,393
1907,Master,63120,1477
701,Graduation,73691,1179
3856,Graduation,63381,1005
4149,PhD,76140,1348
2131,PhD,62859,1307
1173,Master,77632,2252
4611,Graduation,105471,1724
3376,Master,55282,235
4679,Master,78710,1092
10928,Graduation,66886,599
4248,Master,98777,2008
6661,Graduation,67445,1174
4725,PhD,50616,67
5555,Graduation,153924,6
2564,Graduation,61278,165
3867,PhD,73059,1095
55,Graduation,56253,597
5084,Graduation,58330,1064
7426,2n Cycle,54690,198
9153,PhD,59304,1048
10379,Master,59247,574
9204,Graduation,66731,1029
3197,Graduation,77353,670
2920,PhD,52614,990
4673,PhD,81300,1241
9937,Graduation,70337,576
9596,PhD,65295,664
2891,Graduation,68118,928
4910,Graduation,68743,2074
6327,Graduation,65777,1146
10142,PhD,66476,689
9826,PhD,86857,2114
1501,PhD,160803,1717
10767,PhD,77845,1346
7279,PhD,69476,1044
7230,PhD,50611,493
143,Graduation,61209,957
9239,Master,61923,126
1277,Graduation,78468,1004
9977,Graduation,78901,734
10196,Graduation,71427,614
6384,Graduation,71022,1453
8029,Master,90247,1621
6988,Graduation,71952,1443
3336,PhD,66375,948
1272,Master,55250,903
1044,Graduation,58398,596
6969,Graduation,50272,233
10479,PhD,76618,1511
3619,2n Cycle,87305,1152
10159,Graduation,58710,1185
5114,Master,74806,965
4990,Graduation,59111,869
10936,Graduation,72190,1947
6086,Graduation,80395,1380
437,Master,75012,1027
11171,Master,56962,411
11101,Graduation,89891,836
610,PhD,53593,480
9384,Graduation,66373,606
10430,Graduation,89694,1472
7875,Graduation,72025,1677
7072,Graduation,67432,1335
6255,Master,70545,334
5564,Graduation,62882,1338
5682,PhD,64108,1099
5278,Graduation,82224,902
3560,Graduation,83844,1574
10548,Graduation,71163,960
4073,2n Cycle,63564,1215
6974,PhD,83443,1497
7938,PhD,51518,449
7094,Graduation,58330,1064
3667,Graduation,80952,1757
7723,Graduation,75507,1440
3870,2n Cycle,63855,1006
4012,PhD,62220,1226
5909,Graduation,58512,1171
6887,Graduation,79146,564
6406,Master,78285,1427
4508,Graduation,75127,833
5331,Graduation,74985,1869
1911,Graduation,67430,1364
8786,Master,62058,450
10582,Graduation,72063,758
1915,PhD,78939,1507
4964,PhD,74250,1158
2461,Master,51124,43
10736,Graduation,72258,1525
3194,PhD,71466,1230
6543,Master,62847,1612
10446,PhD,82017,729
11075,Graduation,51267,270
6722,PhD,70421,767
796,2n Cycle,60161,1071
3749,Graduation,73926,1580
310,Master,61872,573
9930,PhD,82716,1167
7326,Master,56850,63
7352,Graduation,55267,405
2350,Graduation,59666,1027
9145,Graduation,72504,1478
9687,Graduation,73170,726
3732,Master,52750,860
6303,PhD,91820,1497
11176,PhD,65968,495
3900,Graduation,65685,769
9493,PhD,76412,1808
1,Graduation,57091,577
5536,Graduation,87771,1957
5989,2n Cycle,78353,1576
9499,Graduation,93404,1616
2150,PhD,80995,1482
4887,PhD,55412,63
3321,PhD,56575,542
9904,Graduation,71391,1043
5687,Graduation,81702,1633
5121,Graduation,56628,761
5332,2n Cycle,82504,1066
5848,Graduation,81205,2009
10343,2n Cycle,61618,1345
5935,Master,55284,764
9477,PhD,65324,544
4856,2n Cycle,82347,1853
1456,Graduation,60474,1180
425,Graduation,55357,727
1031,2n Cycle,85710,1062
2036,PhD,57906,401
8687,Graduation,53172,486
10140,PhD,70123,1727
9353,Graduation,62450,995
7631,Master,61346,989
4789,Graduation,80812,1677
1446,Master,86424,1226
8017,2n Cycle,51111,55
5830,PhD,86857,2114
4597,PhD,82072,2018
8825,Graduation,51195,564
2930,Master,68092,1281
7108,Master,51390,353
10925,Graduation,76630,1003
9224,PhD,55260,1139
5519,Graduation,64090,797
5046,Graduation,78331,1638
8624,Graduation,81320,928
8945,Graduation,54137,203
6445,Graduation,66825,858
2727,Graduation,57100,409
6404,Graduation,58917,282
11074,Graduation,85072,1423
10150,Graduation,86429,1449
7053,PhD,78420,1453
4654,Graduation,75114,1253
9760,PhD,52278,1198
10619,Graduation,95529,1990
9308,Graduation,62820,976
10505,Master,73113,1001
8362,PhD,84169,1919
4637,PhD,74637,1650
4483,Graduation,72354,1228
8931,Graduation,83033,1761
2008,Graduation,77583,1149
3139,2n Cycle,74116,2052
10037,Graduation,74293,1127
10673,PhD,68397,1416
5303,PhD,79632,1113
7922,PhD,64950,966
4843,Graduation,75127,833
1628,Graduation,71796,960
1204,PhD,67536,1829
3673,Graduation,55239,779
760,PhD,60554,811
8957,2n Cycle,64831,1120
4128,PhD,56067,725
6810,Graduation,82025,1187
5386,Graduation,94384,2302
3202,PhD,51563,1250
1328,2n Cycle,57937,683
8405,Graduation,68274,305
2882,2n Cycle,67893,995
6387,PhD,52190,77
5748,Graduation,59754,475
2134,Graduation,53700,694
1523,Graduation,59041,96
9665,PhD,54237,361
4640,Graduation,70647,1079
3635,PhD,52597,578
5633,Graduation,50183,231
7801,Graduation,54753,728
10489,Graduation,92955,1778
10981,Graduation,84219,1198
6357,2n Cycle,59052,491
9209,Master,80573,1564
10286,Graduation,83715,926
2611,Master,82576,1910
1600,Master,56962,411
5407,Graduation,53103,1085
3056,Graduation,63693,1150
5718,Graduation,80763,1415
6872,PhD,65352,405
8164,PhD,82170,1908
4580,Graduation,75759,2486
9305,2n Cycle,79689,1315
8545,Graduation,85683,1789
7646,Graduation,64449,805
1640,Graduation,64587,108
8492,Graduation,75437,1493
1212,Graduation,52845,936
10473,PhD,78028,528
7962,PhD,95169,1901
9984,2n Cycle,56337,724
8952,Master,65569,859
241,Graduation,83844,1574
5236,Graduation,77568,2194
10634,Master,59412,406
7010,2n Cycle,70924,1363
8562,Graduation,54165,236
6059,PhD,64504,1314
8911,PhD,56320,702
8985,2n Cycle,68316,1211
5204,Graduation,74538,1461
9220,Graduation,91700,1968
9888,Graduation,68695,1091
1020,Graduation,79593,1366
3717,Graduation,61180,704
4998,Graduation,76081,1033
4002,PhD,77037,1123
4767,2n Cycle,70924,1363
4475,PhD,69098,2440
7290,Graduation,70596,968
8104,PhD,53312,278
4507,Graduation,72228,1250
11013,Graduation,67605,938
4491,Master,62845,1178
3759,Graduation,65196,1155
10766,PhD,65526,506
3005,Graduation,83528,1650
2223,2n Cycle,64176,1826
2875,Graduation,67023,906
11112,Graduation,70713,1477
3807,Graduation,59925,766
6421,Graduation,88347,2116
4207,PhD,87171,1298
10855,Master,50014,396
3535,Graduation,66294,967
8707,Graduation,79456,1401
6072,Master,75345,2087
6295,Graduation,54233,981
1509,PhD,84460,523
7348,PhD,71691,1192
1127,PhD,85844,1958
4944,Graduation,71367,777
6466,PhD,57236,121
9964,Graduation,61825,424
4790,Graduation,79803,868
10245,2n Cycle,80910,756
6001,Graduation,56775,937
5538,Graduation,83829,1862
10552,2n Cycle,54210,367
7409,Graduation,53187,267
146,PhD,76045,1323
6271,PhD,50870,63
4741,2n Cycle,65463,562
246,Graduation,66480,312
375,Graduation,76773,1156
1524,2n Cycle,81698,1104
10022,PhD,54466,16
7451,Master,98777,2008
4356,Graduation,71819,1574
850,Graduation,70566,757
675,Master,52034,332
6749,Graduation,86358,1722
4756,2n Cycle,63998,1168
3412,Master,67381,957
2975,Graduation,85606,1956
2894,Graduation,72903,2013
8015,PhD,85696,1313
849,Master,56129,660
819,Graduation,63285,1103
5430,Graduation,54450,684
7755,PhD,57744,411
1453,PhD,57513,1060
8310,Graduation,68142,1459
5031,Graduation,83145,1833
2613,Master,54197,237
1077,Graduation,56715,1020
7959,Graduation,79410,1370
640,Graduation,57304,1026
8432,Graduation,54450,684
6218,Graduation,59594,499
6905,Graduation,80685,1004
3598,Graduation,62710,606
10486,Graduation,77142,990
2410,Graduation,81657,1097
8278,PhD,74214,1711
10660,Master,66726,438
10669,Graduation,54386,470
5735,Master,90638,2525
1829,PhD,54959,1232
9855,PhD,62000,1020
590,Master,78579,1812
8732,Master,67369,1461
2315,Graduation,58401,96
3515,Graduation,62307,160
6283,Master,63841,908
6606,Master,70091,1161
5545,PhD,78075,988
7342,2n Cycle,59184,1072
837,Graduation,54809,174
9500,Graduation,58113,758
3602,Master,51412,195
2995,Master,66636,1084
1118,Master,50965,685
7789,PhD,84618,1672
7192,Graduation,65748,545
2324,Graduation,77044,1065
697,Graduation,74918,2047
3439,Graduation,56721,296
232,Graduation,61559,530
4500,PhD,68682,1598
1627,2n Cycle,77297,789
257,PhD,75032,1215
4058,PhD,61284,811
8210,Master,54730,405
843,Graduation,64722,805
4174,Master,55249,130
9757,Graduation,84906,1631
1921,PhD,59062,71
4138,Graduation,76624,899
7718,Master,66000,711
10833,Graduation,65106,973
9606,PhD,69969,1536
8534,Graduation,67433,992
5153,PhD,77766,1529
961,Graduation,74716,860
5011,Graduation,68118,928
6653,PhD,55158,418
9094,2n Cycle,62972,587
810,Graduation,74190,641
2147,Graduation,76653,2279
3979,PhD,90687,1779
6049,Master,73450,1804
3910,Graduation,83829,1862
5207,PhD,53378,793
9400,2n Cycle,85485,1383
1740,Graduation,55956,999
7488,Master,64191,825
635,Master,57183,610
10319,Graduation,66303,1286
2931,Graduation,71847,1192
3698,Graduation,78687,2130
339,PhD,57091,496
9010,Master,83151,2346
378,Graduation,52531,794
3551,Master,60033,198
5543,Graduation,57811,802
1577,Graduation,78569,1736
5336,Master,157733,59
6024,Graduation,94384,2302
6055,Graduation,71626,1305
5841,Graduation,60894,832
3972,Graduation,50200,401
4394,PhD,81051,1501
5758,Graduation,65169,1189
6658,Graduation,59868,1194
4603,PhD,65695,656
8427,Master,64857,1540
7143,2n Cycle,74805,820
8789,2n Cycle,59060,274
1650,Master,81843,1643
9206,Graduation,77382,1121
9212,Master,72828,1678
158,PhD,71604,1196
1945,Graduation,71434,1400
5147,Graduation,90842,1424
2535,Master,88097,844
11039,Graduation,51948,311
9495,Graduation,71853,1149
9386,Graduation,50127,320
873,Master,62845,1178
4698,PhD,50150,410
7793,Graduation,62061,800
1745,PhD,85696,1313
10590,PhD,76542,1483
5080,Graduation,70515,1258
5232,Graduation,69139,227
2407,Graduation,69109,1555
3834,Graduation,69627,861
7712,PhD,62159,634
1065,Graduation,80695,1918
1343,Graduation,58554,586
9967,Graduation,53034,447
6181,2n Cycle,52203,939
10507,2n Cycle,59601,797
2674,Master,75154,1143
10476,Graduation,67267,251
5948,Graduation,57338,237
9140,2n Cycle,50523,91
5675,PhD,50611,493
4743,PhD,56242,971
1542,Graduation,56243,396
8773,Master,57420,322
7514,2n Cycle,54342,177
10909,Graduation,92344,1899
2963,Graduation,75507,1440
8216,Master,53761,325
4405,Master,63915,789
3421,Master,63841,908
10490,PhD,51039,417
4094,Graduation,60544,289
9958,Graduation,65685,769
8402,Master,67087,794
8783,Graduation,57045,454
618,PhD,69389,797
9121,Graduation,80134,1690
4310,Graduation,80589,1428
6376,Graduation,57537,545
10341,Graduation,51315,222
7000,2n Cycle,65704,817
2561,Graduation,63810,1371
5229,PhD,54132,42
9349,Graduation,92533,1131
3388,Graduation,70844,294
8588,Graduation,60544,289
4530,Master,78427,1930
1553,Graduation,82657,2283
4682,Graduation,51876,310
8204,2n Cycle,78041,1319
5221,Graduation,52852,879
1232,PhD,70038,1244
1927,2n Cycle,69401,690
6652,Graduation,77343,1134
6246,Graduation,73892,1507
4399,Graduation,68695,1091
10133,Graduation,93790,2349
8233,Master,64866,556
9483,Graduation,57957,637
4690,Graduation,50725,586
7521,Graduation,83844,1574
4406,Graduation,67419,1471
4070,PhD,94871,1078
25,Graduation,65148,1115
217,Master,64857,1540
4220,PhD,59892,87
9559,PhD,57072,1034
2849,Graduation,60474,1180
7787,Graduation,62807,819
8370,2n Cycle,75484,1159
9988,Master,70379,860
2939,Master,79419,1631
5529,PhD,64014,444
9743,Graduation,76998,1910
3478,PhD,60585,736
1763,Graduation,87679,2524
7250,Graduation,57867,612
10770,Graduation,65492,1045
2072,PhD,53374,1064
9463,Graduation,71706,1443
6318,Graduation,68487,1366
4093,Master,53253,436
3594,Master,54108,747
3643,Master,63206,928
851,Master,57136,642
3967,PhD,78931,943
10128,Graduation,53977,907
486,Graduation,84219,1198
9451,Graduation,73538,1658
9264,Graduation,79529,1638
2853,Graduation,51766,275
1490,Graduation,55759,854
4278,PhD,87188,1923
8643,Graduation,69930,1662
2408,Graduation,58597,733
202,PhD,82032,1234
830,PhD,74004,1658
6050,2n Cycle,57036,1513
125,2n Cycle,53083,271
3463,PhD,69283,904
10530,PhD,67786,1156
1079,PhD,71969,1086
8920,Master,59235,1128
3852,Master,74881,964
528,Graduation,65819,1383
73,PhD,51411,18
5589,Graduation,51983,793
591,Graduation,66033,677
2544,Master,57530,92
7725,2n Cycle,76800,641
8091,Graduation,63943,1106
7321,Graduation,76081,1033
5462,Graduation,67445,1174
2793,PhD,70179,1034
4828,Graduation,79865,792
7476,Master,63972,1269
4390,Graduation,75315,841
10478,PhD,55517,633
1081,PhD,75283,1019
4261,PhD,82800,1315
5350,Master,90638,2525
9298,PhD,81574,1798
6257,Master,60482,507
9952,Master,78093,1105
3503,Graduation,82460,974
4608,Graduation,81361,778
2471,Graduation,61482,299
2612,Graduation,75794,1682
5185,Graduation,74268,892
1131,PhD,52569,95
7022,Graduation,76445,1410
5272,Master,53843,562
5453,Master,90226,2352
2565,Master,70638,1334
5062,PhD,54072,39
8969,Graduation,71855,1141
4656,2n Cycle,51250,710
4480,Master,60432,401
9971,PhD,65526,506
6729,Graduation,68655,1538
9242,Graduation,64509,1722
10099,Graduation,55434,882
940,Graduation,57100,311
3011,Graduation,69139,227
3298,Master,52973,1152
8286,PhD,51717,122
5120,2n Cycle,66664,1289
6097,Graduation,50664,561
7019,Graduation,54414,211
7408,PhD,54549,233
3859,PhD,73059,1095
3783,PhD,52854,116
3427,PhD,59821,734
5209,Graduation,50002,638
10711,Graduation,69755,894
1665,PhD,64140,1750
6575,Graduation,56386,612
3091,2n Cycle,75774,823
5177,Master,58494,396
7005,Graduation,58684,813
6409,Graduation,57136,1179
7485,PhD,56551,138
8395,Graduation,82014,1511
4931,Graduation,157146,1730
2295,PhD,62670,825
1378,2n Cycle,50334,694
2781,Graduation,72066,1792
1165,PhD,50729,496
6457,Graduation,64892,902
6912,PhD,63246,772
5299,PhD,69084,1586
4127,PhD,77766,1529
1964,Graduation,86610,1603
3690,Master,80141,2091
3433,2n Cycle,72635,981
3389,Graduation,69016,1533
1215,Graduation,70440,1572
1891,Master,78789,1754
2570,Graduation,56534,815
9256,Graduation,58350,1001
295,Graduation,81217,1157
6349,Master,61787,1319
550,Graduation,62335,708
10742,PhD,86580,746
4676,Master,73705,1695
8852,Graduation,61064,1080
1958,PhD,55012,660
1351,Master,58656,1220
1045,Graduation,52117,279
7732,Graduation,64813,745
8070,PhD,54222,264
477,Graduation,83512,2157
7832,Master,77520,1526
7396,Graduation,80398,1597
10091,Graduation,60230,1067
3498,PhD,55424,877
1172,PhD,92491,2034
569,Graduation,90273,1991
4686,PhD,82571,1686
1000,Master,74881,964
3828,Graduation,71107,1327
10129,Graduation,82427,1456
2499,2n Cycle,75342,563
10092,Graduation,70044,1504
7500,Graduation,79146,564
5796,Graduation,77437,1125
10556,Graduation,54984,358
48,Graduation,55761,184
10814,Graduation,70321,1376
9710,PhD,58086,792
9292,Graduation,81795,1382
7881,Master,66835,1033
5847,Graduation,69901,882
737,PhD,80360,2231
3571,PhD,63342,1101
5092,PhD,51569,467
5883,Graduation,77981,664
2118,2n Cycle,62905,622
6616,Graduation,59481,461
2797,Graduation,72117,1073
9167,Graduation,67131,976
2631,Graduation,71853,1149
7592,PhD,51012,209
8895,Graduation,70596,968
8584,PhD,85431,1165
2681,2n Cycle,65370,461
9645,Graduation,64590,1338
10678,Graduation,71232,917
1513,2n Cycle,60839,1250
6173,Graduation,77298,969
7960,2n Cycle,82122,1382
7002,Graduation,62535,398
8439,Graduation,63404,902
762,2n Cycle,75774,823
2831,Graduation,78416,1179
6977,Graduation,75702,1921
6289,Master,59385,185
9284,Graduation,53977,907
1619,Graduation,90369,1588
1990,PhD,63159,1797
8093,Master,79734,914
10513,Graduation,63207,1502
10177,Graduation,72071,1338
5782,2n Cycle,58582,763
10057,Graduation,72282,1331
10307,Graduation,50387,525
2415,Graduation,62568,953
9166,Graduation,63967,882
1440,2n Cycle,52513,1149
5441,PhD,54111,388
5302,Graduation,78394,1428
4687,Master,80739,1633
7129,PhD,54693,929
10521,Graduation,54809,174
7849,PhD,80336,1052
9847,2n Cycle,62972,587
531,PhD,57333,1662
6906,Master,84953,1024
3170,Master,68148,1042
8527,Master,65735,395
7872,PhD,86836,557
4609,PhD,57705,486
4427,2n Cycle,83257,1365
1168,PhD,72159,1401
9595,Graduation,64260,1574
10163,PhD,82733,1323
2886,Master,74290,1217
6710,Master,58217,103
9029,PhD,70116,1536
521,Graduation,54006,581
1459,PhD,69063,928
1630,Graduation,61825,424
3254,Graduation,70886,960
9064,Graduation,69109,1555
3678,Graduation,60208,656
2186,2n Cycle,82326,2257
8602,Graduation,69932,1049
6715,PhD,60200,685
1399,Graduation,72905,1515
1570,PhD,69702,1039
3426,Graduation,70300,1596
3074,PhD,70643,1828
5180,PhD,50616,149
6461,Master,62772,946
10702,Graduation,52413,450
5113,PhD,86979,1702
10858,Graduation,76532,820
2747,PhD,67546,2126
3010,Master,88420,2069
6892,Graduation,61671,732
1743,Graduation,69719,801
5558,PhD,90933,1685
4619,PhD,113734,277
8780,PhD,59292,507
5896,Master,73395,397
544,Graduation,62820,976
17,PhD,60491,1028
5832,2n Cycle,92556,1263
5544,Graduation,67384,1490
6417,Master,80573,1564
5831,Graduation,77870,1815
7101,PhD,52278,1198
10176,Graduation,57107,416
3283,2n Cycle,70932,909
3138,Graduation,91249,1676
4994,Master,77598,1735
7966,Graduation,80982,1191
10872,PhD,55212,1182
2181,Graduation,70617,1280
1867,Graduation,64849,1336
1518,Master,62694,749
5734,PhD,61917,91
2878,PhD,67472,414
6200,Graduation,75903,901
4827,PhD,54998,455
6250,PhD,54356,775
1139,PhD,73356,1512
10413,Graduation,72570,1089
10868,Graduation,70792,1272
10676,Graduation,63211,1173
2495,Master,83891,816
6663,PhD,51141,157
2162,Graduation,56939,561
3434,Graduation,80872,1336
7919,PhD,72335,2092
5626,PhD,61798,463
6428,PhD,76842,1130
2109,Graduation,96843,1544
7530,PhD,56551,138
8925,Master,70053,1012
3009,PhD,71670,1766
6203,Graduation,74485,1734
7165,Graduation,64474,823
3595,Graduation,77226,1138
8537,Graduation,72643,1429
4331,Master,85738,1371
6281,Graduation,55686,982
8360,2n Cycle,54690,198
3334,Graduation,94642,2211
4470,Master,58646,140
1406,Graduation,53201,415
10821,Graduation,57113,263
4552,Graduation,51373,393
9797,Graduation,58116,443
10949,PhD,72968,1958
6248,Master,91712,2217
10164,Graduation,94472,1691
6815,2n Cycle,96547,809
4122,Graduation,79205,895
10841,PhD,56559,484
176,2n Cycle,67506,331
3599,Graduation,63684,1464
6870,PhD,68805,283
832,PhD,65814,747
2002,Graduation,71964,1870
500,Graduation,96876,1941
3262,Graduation,68281,1655
7861,Master,77027,1175
4837,PhD,71322,1305
3945,PhD,68117,930
3799,Graduation,67225,868
3491,Graduation,55914,1260
9119,Graduation,60905,392
4786,Graduation,75330,1109
5872,Graduation,60689,639
5628,Graduation,61416,1665
4974,Graduation,83273,1392
4268,Graduation,53154,158
10701,Graduation,65308,1211
3507,Graduation,76467,1575
2079,2n Cycle,81044,1208
4426,Graduation,55801,527
2591,Graduation,76320,932
7441,Graduation,71128,1615
1071,PhD,70179,1034
10061,Graduation,59462,1088
2345,PhD,70038,1244
10897,Graduation,67445,1174
123,Graduation,67046,993
7899,PhD,77610,1680
2406,Graduation,54591,519
2712,Graduation,71866,715
